Page,Words,H1,H2,FAQ,Schema,Issues,Status
src/pages/clothing-manufacturer-cambodia.astro,2143,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-canada.astro,1532,1,7,8,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturer-china.astro,5702,1,12,8,OK,"",OK
src/pages/clothing-manufacturer-czech-republic.astro,805,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-denmark.astro,1194,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-egypt.astro,2008,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-europe.astro,1440,1,8,8,OK,"",OK
src/pages/clothing-manufacturer-finland.astro,1193,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-for-small-brands.astro,2040,1,7,6,OK,"",OK
src/pages/clothing-manufacturer-for-small-business.astro,2966,1,10,8,OK,"",OK
src/pages/clothing-manufacturer-france.astro,1581,1,8,8,OK,"",OK
src/pages/clothing-manufacturer-germany.astro,1569,1,8,8,OK,"",OK
src/pages/clothing-manufacturer-greece.astro,2099,1,10,10,OK,"",OK
src/pages/clothing-manufacturer-hong-kong.astro,1064,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-india.astro,849,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-indonesia.astro,842,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-ireland.astro,1630,1,8,8,OK,"",OK
src/pages/clothing-manufacturer-israel.astro,1964,1,10,10,OK,"",OK
src/pages/clothing-manufacturer-italy.astro,1694,1,8,8,OK,"",OK
src/pages/clothing-manufacturer-japan.astro,960,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-malaysia.astro,843,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-mexico.astro,1448,1,7,8,OK,"",OK
src/pages/clothing-manufacturer-morocco.astro,3534,1,9,8,OK,"",OK
src/pages/clothing-manufacturer-netherlands.astro,1353,1,7,8,OK,"",OK
src/pages/clothing-manufacturer-new-zealand.astro,1033,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-norway.astro,769,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-pakistan.astro,3625,1,9,8,OK,"",OK
src/pages/clothing-manufacturer-philippines.astro,622,1,3,4,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturer-poland.astro,788,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-portugal.astro,1970,1,10,10,OK,"",OK
src/pages/clothing-manufacturer-russia.astro,2000,1,10,10,OK,"",OK
src/pages/clothing-manufacturer-saudi-arabia.astro,784,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-singapore.astro,1007,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-south-africa.astro,1069,1,5,8,OK,"",OK
src/pages/clothing-manufacturer-south-korea.astro,434,1,5,0,OK,"THIN-CONTENT(434-words)",FIX
src/pages/clothing-manufacturer-spain.astro,1225,1,7,8,OK,"",OK
src/pages/clothing-manufacturer-sri-lanka.astro,2190,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-sweden.astro,579,1,5,0,OK,"",OK
src/pages/clothing-manufacturer-switzerland.astro,722,1,5,0,OK,"",OK
src/pages/clothing-manufacturer-taiwan.astro,1957,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-thailand.astro,813,1,6,0,OK,"",OK
src/pages/clothing-manufacturer-turkey.astro,942,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-uae.astro,502,1,4,0,OK,"",OK
src/pages/clothing-manufacturer-uk.astro,1206,1,7,5,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturer-usa.astro,1253,1,7,5,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturer-vietnam.astro,848,1,7,0,OK,"",OK
src/pages/clothing-manufacturers-for-startups.astro,4737,1,12,8,OK,"",OK
src/pages/clothing-manufacturers-for-women.astro,3465,1,9,10,OK,"",OK
src/pages/clothing-manufacturers.astro,2597,1,13,8,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturing-cost-guide.astro,4205,1,11,10,OK,"",OK
src/pages/coat-manufacturer.astro,3687,1,9,8,OK,"",OK
src/pages/confidentiality.astro,1653,1,13,0,OK,"",OK
src/pages/contact.astro,4859,1,4,7,OK,"",OK
src/pages/cookies.astro,278,1,4,0,OK,"",OK
src/pages/corporate-uniform-manufacturer.astro,5097,1,10,6,OK,"",OK
src/pages/cotton-clothing-manufacturer.astro,5417,1,10,6,OK,"",OK
src/pages/csr.astro,1499,1,10,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/custom-clothing-manufacturer.astro,5200,1,10,6,OK,"",OK
src/pages/cut-and-sew-service.astro,1874,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/cycling-apparel-manufacturer.astro,1067,1,9,8,OK,"",OK
src/pages/dance-wear-manufacturer.astro,1066,1,9,8,OK,"",OK
src/pages/denim-jacket-manufacturer.astro,2580,1,9,8,OK,"",OK
src/pages/denim-manufacturer.astro,1234,1,9,8,OK,"",OK
src/pages/dress-manufacturer.astro,1077,1,8,8,OK,"",OK
src/pages/dropshipping-service.astro,1911,1,8,6,OK,"",OK
src/pages/dye-house-service.astro,1759,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/dyeing-service.astro,2005,1,10,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/eco-friendly-clothing-manufacturer.astro,1061,1,9,8,OK,"",OK
src/pages/ecommerce-clothing-manufacturer.astro,6004,1,11,11,OK,"",OK
src/pages/editorial-policy.astro,352,1,7,0,OK,"",OK
src/pages/email-marketing-guide.astro,1712,1,8,6,OK,"DESC-TOO-LONG(205c)",FIX
src/pages/embroidery-service.astro,1793,1,8,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/ethical-clothing-manufacturer.astro,4087,1,9,8,OK,"",OK
src/pages/eu-epr-explained.astro,3362,1,9,0,OK,"",OK
src/pages/fabric-sourcing.astro,1948,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/faq.astro,201,1,2,1,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/fashion-consulting-service.astro,1661,1,8,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/fashion-manufacturers.astro,218,1,3,0,OK,"THIN-CONTENT(218-words)",FIX
src/pages/faux-leather-clothing-manufacturer.astro,1694,1,6,8,OK,"",OK
src/pages/finishing-service.astro,4488,1,10,6,OK,"",OK
src/pages/fit-engineering-service.astro,1845,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/fulfillment-service.astro,1914,1,8,6,OK,"",OK
src/pages/full-package-production.astro,1116,1,9,0,OK,"",OK
src/pages/garment-development-service.astro,1869,1,10,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/garment-exporter.astro,2759,1,12,8,OK,"",OK
src/pages/garments-factory.astro,572,1,5,0,OK,"",OK
src/pages/garments-manufacturers.astro,568,1,5,0,OK,"",OK
src/pages/gots-certified-clothing-manufacturer.astro,3560,1,8,8,OK,"",OK
src/pages/grading-service.astro,3867,1,9,8,OK,"",OK
src/pages/guides/clothing-manufacturing-cost-bangladesh.astro,803,1,6,3,OK,"",OK
src/pages/guides/clothing-manufacturing-lead-time.astro,1083,1,7,3,OK,"",OK
src/pages/hemp-clothing-manufacturer.astro,1072,1,9,8,OK,"",OK
src/pages/hi-vis-workwear-manufacturer.astro,1055,1,9,8,OK,"",OK
src/pages/hoodie-manufacturer.astro,4648,1,17,8,OK,"",OK
src/pages/how-to-create-a-tech-pack.astro,3492,1,10,8,OK,"",OK
src/pages/how-to-find-clothing-manufacturer.astro,6043,1,10,10,OK,"",OK
src/pages/how-to-scale-a-clothing-brand.astro,5524,1,10,10,OK,"",OK
src/pages/how-to-start-a-clothing-brand.astro,4370,1,12,8,OK,"",OK
src/pages/inclusive-sizing-guide.astro,2572,1,8,6,OK,"",OK
src/pages/index.astro,4813,1,7,1,OK,"",OK
src/pages/insights/AQL-inspection-explained.astro,800,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/avoiding-clothing-manufacturer-scams.astro,1053,1,10,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/bangladesh-vs-china-manufacturing.astro,768,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/circular-fashion-guide.astro,3950,1,10,0,OK,"DESC-TOO-LONG(184c)",FIX
src/pages/insights/clothing-manufacturing-lead-time.astro,299,1,4,0,INVALID-SCHEMA,"INVALID-SCHEMA | THIN-CONTENT(299-words)",FIX
src/pages/insights/CPSIA-compliance-guide.astro,664,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/custom-socks-guide.astro,1818,1,8,6,OK,"DESC-TOO-LONG(216c)",FIX
src/pages/insights/customs-clearance-guide.astro,725,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/digital-product-passport-textile.astro,732,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/ethical-manufacturing-verification.astro,3873,1,10,0,OK,"DESC-TOO-LONG(192c)",FIX
src/pages/insights/eu-clothing-regulations-2026.astro,275,1,4,0,INVALID-SCHEMA,"INVALID-SCHEMA | THIN-CONTENT(275-words)",FIX
src/pages/insights/EU-EPR-2026-guide.astro,762,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/fabric-gsm-explained.astro,989,1,10,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/garment-grading-explained.astro,947,1,9,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/gots-certification-explained.astro,526,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/gots-label-guide.astro,1836,1,8,6,OK,"TITLE-TOO-LONG(74c) | DESC-TOO-LONG(215c)",FIX
src/pages/insights/how-to-calculate-landed-cost.astro,1208,1,11,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/how-to-find-clothing-manufacturer.astro,519,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/how-to-negotiate-with-clothing-manufacturers.astro,1151,1,10,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/incoterms-explained.astro,1410,1,10,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/index.astro,72,1,2,0,OK,"",OK
src/pages/insights/low-moq-clothing-manufacturer.astro,509,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/manufacturing-costs.astro,229,1,4,0,INVALID-SCHEMA,"INVALID-SCHEMA | THIN-CONTENT(229-words)",FIX
src/pages/insights/MOQ-meaning-clothing.astro,804,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/oem-vs-odm-vs-cmt.astro,553,1,7,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/payment-terms-LC-vs-TT.astro,1223,1,13,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/private-label-clothing-manufacturer.astro,424,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA | THIN-CONTENT(424-words)",FIX
src/pages/insights/quality-control-checklist.astro,1134,1,11,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/sample-cost-explained.astro,820,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/sock-manufacturing-guide.astro,3397,1,9,0,OK,"",OK
src/pages/insights/sustainable-clothing-manufacturing.astro,583,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/tech-pack-template-guide.astro,977,1,11,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/insights/wholesale-clothing-manufacturer.astro,518,1,9,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/jacket-manufacturer.astro,1016,1,8,8,OK,"",OK
src/pages/joggers-manufacturer.astro,5480,1,10,6,OK,"",OK
src/pages/journal/index.astro,481,1,7,0,OK,"",OK
src/pages/kids-clothing-manufacturer.astro,3734,1,17,8,OK,"",OK
src/pages/knitting-service.astro,1777,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/knitwear-exporter.astro,2923,1,11,8,OK,"",OK
src/pages/knitwear-factory.astro,2215,1,8,8,OK,"",OK
src/pages/lab-dip-service.astro,1508,1,9,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/leather-clothing-manufacturer.astro,3097,1,10,8,OK,"",OK
src/pages/leggings-manufacturer.astro,2015,1,8,8,OK,"",OK
src/pages/linen-clothing-manufacturer.astro,1300,1,9,8,OK,"",OK
src/pages/loungewear-manufacturer.astro,3780,1,7,8,OK,"",OK
src/pages/low-moq-clothing-manufacturers.astro,5853,1,13,8,OK,"",OK
src/pages/manufacturing-platform-alternative.astro,4334,1,9,8,OK,"",OK
src/pages/maternity-clothing-manufacturer.astro,1052,1,9,8,OK,"",OK
src/pages/medical-uniform-manufacturer.astro,1041,1,9,8,OK,"",OK
src/pages/modal-clothing-manufacturer.astro,1298,1,9,8,OK,"",OK
src/pages/modest-fashion-manufacturer.astro,1221,1,10,8,OK,"",OK
src/pages/oeko-tex-certification-guide.astro,4953,1,10,8,OK,"",OK
src/pages/oem-clothing-manufacturer.astro,4405,1,10,8,OK,"",OK
src/pages/organic-cotton-clothing-manufacturer.astro,1328,1,10,8,OK,"",OK
src/pages/overseas-vs-local-clothing-manufacturer.astro,3438,1,9,8,OK,"",OK
src/pages/pants-manufacturer.astro,3123,1,13,8,OK,"",OK
src/pages/pattern-making-service.astro,4227,1,8,8,OK,"",OK
src/pages/pet-clothing-manufacturer/dog-clothing-manufacturer-usa/index.astro,1938,1,8,6,OK,"DESC-TOO-LONG(167c)",FIX
src/pages/pet-clothing-manufacturer/dog-coat-manufacturer/index.astro,3718,1,12,10,OK,"",OK
src/pages/pet-clothing-manufacturer/dog-hoodie-manufacturer/index.astro,1985,1,8,6,OK,"DESC-TOO-LONG(176c)",FIX
src/pages/pet-clothing-manufacturer/equestrian-clothing-manufacturer/index.astro,2039,1,9,6,OK,"DESC-TOO-LONG(177c)",FIX
src/pages/pet-clothing-manufacturer/how-to-start-pet-clothing-brand/index.astro,2215,1,9,6,OK,"DESC-TOO-LONG(166c)",FIX
src/pages/pet-clothing-manufacturer/index.astro,4460,1,12,10,OK,"",OK
src/pages/pet-clothing-manufacturer/organic-pet-clothing-manufacturer/index.astro,1885,1,8,6,OK,"DESC-TOO-LONG(179c)",FIX
src/pages/pet-clothing-manufacturer/pet-clothing-manufacturing-cost/index.astro,2079,1,9,6,OK,"DESC-TOO-LONG(173c)",FIX
src/pages/pet-clothing-manufacturer/private-label-pet-clothing/index.astro,2181,1,9,6,OK,"DESC-TOO-LONG(184c)",FIX
src/pages/petite-clothing-manufacturer.astro,988,1,9,8,OK,"",OK
src/pages/philanthropy.astro,1536,1,4,0,OK,"",OK
src/pages/pleated-skirt-manufacturer.astro,2043,1,8,6,OK,"",OK
src/pages/plus-size-clothing-manufacturer.astro,3124,1,16,8,OK,"",OK
src/pages/polo-shirt-manufacturer.astro,3333,1,10,8,OK,"",OK
src/pages/polyester-clothing-manufacturer.astro,4453,1,8,8,OK,"",OK
src/pages/print-on-demand-manufacturer.astro,949,1,9,8,OK,"",OK
src/pages/print-on-demand-vs-private-label.astro,3350,1,11,8,OK,"",OK
src/pages/printing-service.astro,1796,1,7,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/privacy.astro,2451,1,16,0,OK,"",OK
src/pages/private-label-clothing-guide.astro,5171,1,10,8,OK,"",OK
src/pages/private-label-clothing-manufacturer.astro,2048,1,7,6,OK,"DESC-TOO-LONG(166c)",FIX
src/pages/private-label-manufacturer.astro,1136,1,8,8,OK,"",OK
src/pages/products.astro,1777,1,8,6,OK,"",OK
src/pages/public-notice.astro,150,1,1,0,OK,"",OK
src/pages/quality-inspection-service.astro,4379,1,9,8,OK,"",OK
src/pages/quality-inspection.astro,2831,1,6,0,OK,"DESC-TOO-LONG(168c)",FIX
src/pages/recycled-clothing-manufacturer.astro,1242,1,10,8,OK,"",OK
src/pages/sample-service.astro,1987,1,8,6,OK,"",OK
src/pages/sampling-service.astro,1911,1,8,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/shirt-manufacturer.astro,982,1,8,8,OK,"",OK
src/pages/shopify-clothing-manufacturer.astro,4122,1,9,10,OK,"",OK
src/pages/shorts-manufacturer.astro,3700,1,9,8,OK,"",OK
src/pages/silk-clothing-manufacturer.astro,1294,1,9,8,OK,"",OK
src/pages/skirts-manufacturer.astro,3378,1,9,8,OK,"",OK
src/pages/sleepwear-manufacturer.astro,5463,1,10,6,OK,"",OK
src/pages/small-batch-activewear-manufacturer.astro,2623,1,8,8,OK,"",OK
src/pages/small-batch-clothing-manufacturer.astro,942,1,8,8,OK,"",OK
src/pages/small-batch-hoodie-manufacturer.astro,2750,1,9,8,OK,"",OK
src/pages/small-batch-streetwear-manufacturer.astro,2693,1,8,8,OK,"",OK
src/pages/small-batch-swimwear-manufacturer.astro,2638,1,8,8,OK,"",OK
src/pages/small-batch-t-shirt-manufacturer.astro,2877,1,9,8,OK,"",OK
src/pages/social-media-marketing-guide.astro,1830,1,8,6,OK,"DESC-TOO-LONG(166c)",FIX
src/pages/socks-manufacturer.astro,3243,1,9,8,OK,"",OK
src/pages/sourcing-agent-service.astro,4065,1,9,8,OK,"",OK
src/pages/sports-bra-manufacturer.astro,5536,1,10,6,OK,"",OK
src/pages/sportswear-manufacturer.astro,3112,1,12,8,OK,"",OK
src/pages/startup-clothing-manufacturer.astro,2160,1,7,6,OK,"",OK
src/pages/streetwear-manufacturer.astro,3085,1,16,8,OK,"",OK
src/pages/sustainability.astro,1235,1,9,0,OK,"",OK
src/pages/sustainable-clothing-manufacturer.astro,1218,1,10,8,OK,"",OK
src/pages/sustainable-clothing-manufacturers.astro,4513,1,12,8,OK,"",OK
src/pages/sustainable-fashion-manufacturing-guide.astro,5732,1,10,10,OK,"",OK
src/pages/sweater-manufacturer.astro,948,1,8,8,OK,"",OK
src/pages/sweatshirt-manufacturer.astro,2543,1,10,8,OK,"",OK
src/pages/swimwear-manufacturer.astro,3784,1,17,8,OK,"",OK
src/pages/t-shirt-manufacturer.astro,2104,1,12,0,OK,"",OK
src/pages/tank-top-manufacturer.astro,5581,1,10,6,OK,"",OK
src/pages/tech-pack-guide.astro,5059,1,10,8,OK,"",OK
src/pages/tech-pack-service.astro,1934,1,8,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/technical-outerwear-manufacturer.astro,1983,1,8,6,OK,"DESC-TOO-LONG(171c)",FIX
src/pages/tencel-clothing-manufacturer.astro,1278,1,9,8,OK,"",OK
src/pages/terms.astro,2450,1,17,0,OK,"",OK
src/pages/textile-manufacturers.astro,561,1,5,0,OK,"",OK
src/pages/toddler-clothing-manufacturer.astro,2163,1,8,6,OK,"",OK
src/pages/tools/aql-calculator.astro,4122,1,6,9,OK,"",OK
src/pages/tools/color-converter.astro,6865,1,7,10,OK,"",OK
src/pages/tools/eu-readiness-checker.astro,520,1,1,0,OK,"",OK
src/pages/tools/gsm-converter.astro,1754,1,7,0,OK,"DESC-TOO-LONG(178c)",FIX
src/pages/tools/hs-code.astro,1914,1,3,5,OK,"",OK
src/pages/tools/lead-time-calculator.astro,530,1,2,0,OK,"",OK
src/pages/tools/moq-calculator.astro,422,1,3,0,OK,"THIN-CONTENT(422-words)",FIX
src/pages/tools/price-calculator.astro,1069,1,2,0,OK,"",OK
src/pages/tools/sample-request.astro,1522,1,1,0,OK,"",OK
src/pages/tools/shrinkage-calculator.astro,2072,1,6,0,OK,"DESC-TOO-LONG(210c)",FIX
src/pages/tools/wash-care-label-generator.astro,2976,1,6,0,OK,"DESC-TOO-LONG(249c)",FIX
src/pages/top-50-clothing-manufacturers.astro,8139,1,14,0,OK,"",OK
src/pages/top-apparel-manufacturers.astro,5498,1,12,0,OK,"",OK
src/pages/top-fashion-manufacturers.astro,5715,1,12,0,OK,"",OK
src/pages/top-garments-manufacturers.astro,5225,1,12,0,OK,"",OK
src/pages/trims-sourcing.astro,1913,1,8,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/underwear-manufacturer.astro,3150,1,10,8,OK,"",OK
src/pages/uniform-manufacturer.astro,1123,1,8,8,OK,"",OK
src/pages/washing-service.astro,4568,1,9,6,OK,"",OK
src/pages/wedding-dress-manufacturer.astro,1070,1,9,8,OK,"",OK
src/pages/white-label-manufacturer.astro,999,1,8,8,OK,"",OK
src/pages/white-label.astro,672,1,7,0,OK,"",OK
src/pages/wholesale-activewear-supplier.astro,2147,1,7,8,OK,"",OK
src/pages/wholesale-clothing-manufacturer.astro,1976,1,7,6,OK,"DESC-TOO-LONG(179c)",FIX
src/pages/wholesale-clothing-supplier.astro,2963,1,10,8,OK,"",OK
src/pages/wholesale-hoodie-supplier.astro,2107,1,8,8,OK,"",OK
src/pages/wholesale-polo-shirt-supplier.astro,2102,1,7,8,OK,"",OK
src/pages/wholesale-t-shirt-supplier.astro,2273,1,7,8,OK,"",OK
src/pages/wool-clothing-manufacturer.astro,1271,1,9,8,OK,"",OK
src/pages/work-process.astro,1634,1,3,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/workwear-manufacturer.astro,3091,1,16,8,OK,"",OK
src/pages/yarn-sourcing.astro,1887,1,10,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/yoga-pants-manufacturer.astro,4914,1,10,6,OK,"",OK
src/pages/yoga-wear-manufacturer.astro,1168,1,9,8,OK,"",OK
